Sr. No.,Sr. No. Hard Copy,Directive No.,Year ID,Fiscal Year,Region ID,Region,Con ID,Constituency Name,Members Type,MP ID,MP Name,Full Name of Party,Party,Amount (Million PKR),Fund Status,Programme,Sector,Project District,Project Area
2911,138,381,8,2009-10,4,Punjab,56,NA-56 Rawalpindi-VII,Elected,443,Muhammad Hanif Abbasi,Pakistan Muslim League (N),PML-N,34.9,Consumed,PM's Directive,Development Scheme,Rawalpindi,
2912,139,2107,8,2009-10,4,Punjab,56,NA-56 Rawalpindi-VII,Elected,443,Muhammad Hanif Abbasi,Pakistan Muslim League (N),PML-N,26.768,Consumed,PM's Directive,Misc,Rawalpindi,"Asghar Mall Scheme, UC-20"
2913,140,2172,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,10,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,Kamra to Kamra Village and Hameed chowk to Hameed Village
2914,141,220,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,
2915,142,221,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,15,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,"Mirza Chowk, Cant"
2916,143,222,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,15,Consumed,PM's Directive,Misc,Attock,
2917,144,223,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,20,Consumed,PM's Directive,Electricity,Attock,
2918,145,549,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,80,Consumed,PM's Directive,Development Scheme,Attock,
2919,146,551,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,7,Consumed,PM's Directive,Electricity,Attock,
2920,147,756,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,30,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,
2921,148,968,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,20,Consumed,PM's Directive,Electricity,Attock,
2922,149,1055,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,10,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,Dar-ul-Islam Colony
2923,150,2052,8,2009-10,4,Punjab,57,NA-57-Attock-I,Elected,711,Sheikh Aftab Ahmad,Pakistan Muslim League (N),PML-N,10,Consumed,PM's Directive,Development Scheme,Attock,
2924,151,597,8,2009-10,4,Punjab,58,NA-58-Attock-II,Elected,128,Chaudhry Pervaiz Elahi,Pakistan Muslim League,PML,70,Consumed,PM's Directive,Electricity,Attock,
2925,152,57,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,PM's Directive,Development Scheme,Attock,
2926,153,387,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,23,Consumed,PM's Directive,Electricity,Attock,
2927,154,383,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Attock,
2928,155,734,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,PM's Directive,Electricity,Attock,
2929,156,883,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,12.1,Consumed,PM's Directive,Development Scheme,Attock,
2930,157,2051,8,2009-10,4,Punjab,59,NA-59-Attock-III,Elected,677,Sardar Saleem Haider Khan,Pakistan Peoples Party Parliamentarians,PPPP,7.38,Consumed,PM's Directive,Electricity,Attock,"Villages DK Malik Safdar, A/A Jhang, DK Jhat, A/A Doin and DK Mian Acha"
2931,158,738,8,2009-10,4,Punjab,61,NA-61 Chakwal-II,Elected,437,Muhammad Faez Tamman,Pakistan Muslim League (N),PML-N,8.3,Consumed,PM's Directive,Electricity,Chakwal,
2932,159,388,8,2009-10,4,Punjab,61,NA-61 Chakwal-II,Elected,437,Muhammad Faez Tamman,Pakistan Muslim League (N),PML-N,11,Consumed,PM's Directive,Electricity,Chakwal,
2933,160,2050,8,2009-10,4,Punjab,61,NA-61 Chakwal-II,Elected,437,Muhammad Faez Tamman,Pakistan Muslim League (N),PML-N,8.1,Consumed,PM's Directive,Electricity,Chakwal,"Dhok Chaki Shah jee, UC Kot Gullah, Tehsil Talagang"
2934,161,7,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,PM's Directive,Electricity,Sargodha,
2935,162,66,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,102.124,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Sargodha,
2936,163,216,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,29.2,Consumed,PM's Directive,Electricity,Sargodha,
2937,164,215,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,1,Consumed,PM's Directive,Electricity,Khanewal,Bheni Waqar Hussain and Bheni Malik Mazhar Ali Khan
2938,165,754,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,30,Consumed,PM's Directive,Electricity,Sargodha,
2939,166,751,8,2009-10,4,Punjab,64,NA-64 Sargodha-I,Elected,494,Nadeem Afzal Gondal,Pakistan Peoples Party Parliamentarians,PPPP,31.484,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Sargodha,
2940,167,217,8,2009-10,4,Punjab,66,NA-66 Sargodha-III,Elected,791,Tasneem Ahmed Qureshi,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Sargodha,
2941,168,574,8,2009-10,4,Punjab,67,NA-67 Sargodha-IV,Elected,104,Chaudhry Anwar Ali Cheema,Pakistan Muslim League,PML,47,Consumed,PM's Directive,Electricity,Sargodha,
2942,169,950,8,2009-10,4,Punjab,67,NA-67 Sargodha-IV,Elected,104,Chaudhry Anwar Ali Cheema,Pakistan Muslim League,PML,59.067,Consumed,PM's Directive,Electricity,Sargodha,
2943,170,226,8,2009-10,4,Punjab,69,NA-69 Khushab-I,Elected,728,Sumaira Malik,Pakistan Muslim League (N),PML-N,100,Consumed,PM's Directive,Electricity,Khushab,
2944,171,228,8,2009-10,4,Punjab,70,NA-70 Khushab-II,Elected,344,Malik Shakir Bashir Awan,Pakistan Muslim League (N),PML-N,32.6,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Khushab,
2945,172,227,8,2009-10,4,Punjab,70,NA-70 Khushab-II,Elected,344,Malik Shakir Bashir Awan,Pakistan Muslim League (N),PML-N,30,Consumed,PM's Directive,Electricity,Khushab,
2946,173,230,8,2009-10,4,Punjab,71,NA-71 Mianwali-I,Elected,518,Nawabzada Malik Amad Khan,Pakistan Peoples Party Parliamentarians,PPPP,1.9,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Mianwali,"Basti Bahadarwala, Mouza Karampur, Tehsil Kabirwala"
2947,174,229,8,2009-10,4,Punjab,71,NA-71 Mianwali-I,Elected,518,Nawabzada Malik Amad Khan,Pakistan Peoples Party Parliamentarians,PPPP,22.2,Consumed,PM's Directive,Electricity,Mianwali,
2948,175,2076,8,2009-10,4,Punjab,71,NA-71 Mianwali-I,Elected,518,Nawabzada Malik Amad Khan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,PM's Directive,Electricity,Mianwali,
2949,176,231,8,2009-10,4,Punjab,72,NA-72 Mianwali-II,Elected,236,Humair Hayat Khan Rokhri,Pakistan Muslim League (N),PML-N,30,Consumed,PM's Directive,Electricity,Mianwali,
2950,177,232,8,2009-10,4,Punjab,73,NA-73 Bhakkar-I,Elected,14,Abdul Majeed Khan Khanan Khail,Pakistan Muslim League (N),PML-N,33.6,Consumed,PM's Directive,Electricity,Bhakkar,
2951,178,233,8,2009-10,4,Punjab,73,NA-73 Bhakkar-I,Elected,14,Abdul Majeed Khan Khanan Khail,Pakistan Muslim League (N),PML-N,20,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Bhakkar,
2952,179,512,8,2009-10,4,Punjab,74,NA-74 Bhakkar-II,Elected,675,Sardar Rashid Akbar Khan,Independent,IND,46,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Bhakkar,
2953,180,511,8,2009-10,4,Punjab,74,NA-74 Bhakkar-II,Elected,675,Sardar Rashid Akbar Khan,Independent,IND,15.1,Consumed,PM's Directive,Electricity,Bhakkar,
2954,181,234,8,2009-10,4,Punjab,75,NA-75 Faisalabad-I,Elected,789,Tariq Mehmood Bajwa,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Electricity,Faisalabad,
2955,182,2038,8,2009-10,4,Punjab,75,NA-75 Faisalabad-I,Elected,789,Tariq Mehmood Bajwa,Pakistan Peoples Party Parliamentarians,PPPP,6,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,"Chak No. 133/RB, 144/RB"
2956,183,235,8,2009-10,4,Punjab,76,NA-76 Faisalabad-II,Elected,339,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,PPPP,13.7,Consumed,PM's Directive,Electricity,Faisalabad,
2957,184,236,8,2009-10,4,Punjab,76,NA-76 Faisalabad-II,Elected,339,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,PPPP,36.3,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,Buchiana Police chowki to Bucheki Tehsil Jaranwala
2958,185,939,8,2009-10,4,Punjab,76,NA-76 Faisalabad-II,Elected,339,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Development Scheme,Faisalabad,
2959,186,938,8,2009-10,4,Punjab,76,NA-76 Faisalabad-II,Elected,339,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,PPPP,18.9,Consumed,PM's Directive,Electricity,Faisalabad,
2960,187,237,8,2009-10,4,Punjab,77,NA-77 Faisalabad-III,Elected,121,Chaudhry Muhammad Asim Nazir,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Sewerage,Faisalabad,
2961,188,2039,8,2009-10,4,Punjab,77,NA-77 Faisalabad-III,Elected,121,Chaudhry Muhammad Asim Nazir,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,Adda Hamand Ka to Adkana Chowki
2962,189,2040,8,2009-10,4,Punjab,77,NA-77 Faisalabad-III,Elected,121,Chaudhry Muhammad Asim Nazir,Pakistan Peoples Party Parliamentarians,PPPP,15,Consumed,PM's Directive,Sewerage,Faisalabad,Chak No. 39/GB Satiana Town
2963,190,239,8,2009-10,4,Punjab,78,NA-78 Faisalabad-IV,Elected,566,Raheela Shahadat Baloch,Pakistan Peoples Party Parliamentarians,PPPP,100,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2964,191,1010,8,2009-10,4,Punjab,78,NA-78 Faisalabad-IV,Elected,566,Raheela Shahadat Baloch,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Development Scheme,Faisalabad,
2965,192,240,8,2009-10,4,Punjab,79,NA-79 Faisalabad-V,Elected,583,Rana Mohammad Farooq Saeed Khan,Pakistan Peoples Party Parliamentarians,PPPP,73,Consumed,PM's Directive,Sewerage,Faisalabad,
2966,193,896,8,2009-10,4,Punjab,79,NA-79 Faisalabad-V,Elected,583,Rana Mohammad Farooq Saeed Khan,Pakistan Peoples Party Parliamentarians,PPPP,6.6,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,"Chak No.176/GB,175/GB Tehsil Samundari"
2967,194,2093,8,2009-10,4,Punjab,79,NA-79 Faisalabad-V,Elected,583,Rana Mohammad Farooq Saeed Khan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2968,195,2101,8,2009-10,4,Punjab,80,NA-80 Faisalabad-VI,Elected,581,Rana Asif Tauseef,Pakistan Muslim League,PML,10,Consumed,PM's Directive,Electricity,Faisalabad,
2969,196,68,8,2009-10,4,Punjab,81,NA-81 Faisalabad-VII,Elected,130,Chaudhry Saeed Iqbal,Pakistan Peoples Party Parliamentarians,PPPP,58.7,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2970,197,44,8,2009-10,4,Punjab,82,NA-82 Faisalabad-VIII,Elected,630,Sahibzada Haji Muhammad Fazal Karim,Pakistan Muslim League (N),PML-N,8.6,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2971,198,241,8,2009-10,4,Punjab,82,NA-82 Faisalabad-VIII,Elected,630,Sahibzada Haji Muhammad Fazal Karim,Pakistan Muslim League (N),PML-N,56.2,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2972,199,242,8,2009-10,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Sewerage,Faisalabad,
2973,200,545,8,2009-10,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Development Scheme,Faisalabad,
2974,201,910,8,2009-10,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,30,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2975,202,909,8,2009-10,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,2.1,Consumed,PM's Directive,Electricity,Faisalabad,
2976,203,977,8,2009-10,4,Punjab,83,NA-83 Faisalabad-IX,Elected,447,Muhammad Ijaz Virk,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2977,204,243,8,2009-10,4,Punjab,84,NA-84 Faisalabad-X,Elected,100,Chaudhry Abid Sher Ali,Pakistan Muslim League (N),PML-N,2,Consumed,PM's Directive,Electricity,Faisalabad,
2978,205,770,8,2009-10,4,Punjab,84,NA-84 Faisalabad-X,Elected,100,Chaudhry Abid Sher Ali,Pakistan Muslim League (N),PML-N,34.9,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,
2979,206,2102,8,2009-10,4,Punjab,84,NA-84 Faisalabad-X,Elected,100,Chaudhry Abid Sher Ali,Pakistan Muslim League (N),PML-N,8.2,Consumed,PM's Directive,Electricity,Faisalabad,
2980,207,94,8,2009-10,4,Punjab,85,NA-85 Faisalabad-XI,Elected,212,Haji Muhammad Akram Ansari,Pakistan Muslim League (N),PML-N,1.5,Consumed,PM's Directive,Electricity,Faisalabad,Chak No. 219/RB Sher singh wala Kalan
2981,208,93,8,2009-10,4,Punjab,85,NA-85 Faisalabad-XI,Elected,212,Haji Muhammad Akram Ansari,Pakistan Muslim League (N),PML-N,16.6,Consumed,PM's Directive,Development Scheme,Faisalabad,
2982,209,244,8,2009-10,4,Punjab,85,NA-85 Faisalabad-XI,Elected,212,Haji Muhammad Akram Ansari,Pakistan Muslim League (N),PML-N,13.6,Consumed,PM's Directive,Electricity,Faisalabad,
2983,210,2103,8,2009-10,4,Punjab,85,NA-85 Faisalabad-XI,Elected,212,Haji Muhammad Akram Ansari,Pakistan Muslim League (N),PML-N,17.19,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Faisalabad,Darbar Baba Mahal Shah to Graveyard Hamid Park (Sani Road)
2984,211,246,8,2009-10,4,Punjab,86,NA-86 Chiniot-I (Old Jhang-I),Elected,741,Syed Anayat Ali Shah,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,Electricity,Jhang,
2985,212,762,8,2009-10,4,Punjab,86,NA-86 Chiniot-I (Old Jhang-I),Elected,741,Syed Anayat Ali Shah,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Jhang,
2986,213,247,8,2009-10,4,Punjab,87,NA-87 Chiniot-II-cum Jhang (Old NA-88 Jhang-III),Elected,185,Ghulam Bibi Bharwana,Pakistan Muslim League,PML,60,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Jhang,
2987,214,45,8,2009-10,4,Punjab,87,NA-87 Chiniot-II-cum Jhang (Old NA-88 Jhang-III),Elected,185,Ghulam Bibi Bharwana,Pakistan Muslim League,PML,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Jhang,
2988,215,916,8,2009-10,4,Punjab,89,NA-89 Jhang-I (Old NA-89 Jhang-IV),Elected,717,Sheikh Waqas Akram,Pakistan Muslim League,PML,75,Consumed,PM's Directive,Sewerage,Jhang,
2989,216,921,8,2009-10,4,Punjab,90,NA-90 Jhang-II (Old NA-90 Jhang-V),Elected,635,Saima Akhtar Bharwana,Independent,IND,34.223,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Jhang,
2990,217,2060,8,2009-10,4,Punjab,90,NA-90 Jhang-II (Old NA-90 Jhang-V),Elected,635,Saima Akhtar Bharwana,Independent,IND,13.32,Consumed,PM's Directive,Electricity,Jhang,
2991,218,921,8,2009-10,4,Punjab,90,NA-90 Jhang-II (Old NA-90 Jhang-V),Elected,635,Saima Akhtar Bharwana,Independent,IND,39.93,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Jhang,
2992,219,1004,8,2009-10,4,Punjab,90,NA-90 Jhang-II (Old NA-90 Jhang-V),Elected,635,Saima Akhtar Bharwana,Independent,IND,10.58,Consumed,PM's Directive,Electricity,Jhang,
2993,220,248,8,2009-10,4,Punjab,91,NA-91 Jhang-III (Old NA-91 Jhang-VI),Elected,633,Sahibzada Muhammad Mehboob Sultan,Pakistan Muslim League,PML,5.1,Consumed,PM's Directive,Electricity,Jhang,
2994,221,712,8,2009-10,4,Punjab,91,NA-91 Jhang-III (Old NA-91 Jhang-VI),Elected,633,Sahibzada Muhammad Mehboob Sultan,Pakistan Muslim League,PML,55.2,Consumed,PM's Directive,Electricity,Jhang,
2995,222,892,8,2009-10,4,Punjab,91,NA-91 Jhang-III (Old NA-91 Jhang-VI),Elected,633,Sahibzada Muhammad Mehboob Sultan,Pakistan Muslim League,PML,1.872,Consumed,PM's Directive,Electricity,Jhang,
2996,223,250,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,18,Consumed,PM's Directive,Electricity,Toba Tek Singh,
2997,224,251,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,6,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Toba Tek Singh,
2998,225,252,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,2.1,Consumed,PM's Directive,Misc,Toba Tek Singh,Darbar Baba Balka Sahib
2999,226,713,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,1.8,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Toba Tek Singh,Mohalla Garden Town and Fatima Town
3000,227,965,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,2.7,Consumed,PM's Directive,Water Supply,Toba Tek Singh,Chatiana Police Station
3001,228,979,8,2009-10,4,Punjab,93,NA-93 Toba Tek Singh-II,Elected,453,Muhammad Junaid Anwaar Chaudhry,Pakistan Muslim League (N),PML-N,3,Consumed,PM's Directive,Water Supply,Toba Tek Singh,Chak No. 330/JB Silluwal
3002,229,253,8,2009-10,4,Punjab,94,NA-94 Toba Tek Singh-III,Elected,603,Riaz Fatiana,Pakistan Muslim League,PML,51.6,Consumed,PM's Directive,Electricity,Toba Tek Singh,
3003,230,254,8,2009-10,4,Punjab,94,NA-94 Toba Tek Singh-III,Elected,603,Riaz Fatiana,Pakistan Muslim League,PML,69.7,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Toba Tek Singh,Kamalia Jhakar Bhoosi Road
3004,231,805,8,2009-10,4,Punjab,94,NA-94 Toba Tek Singh-III,Elected,603,Riaz Fatiana,Pakistan Muslim League,PML,48,Consumed,PM's Directive,Electricity,Pakpattan,
3005,232,308,8,2009-10,4,Punjab,95,NA-95 Gujranwala-I,Elected,797,Usman Ibrahim,Pakistan Muslim League (N),PML-N,19.9,Consumed,PM's Directive,Development Scheme,Gujranwala,
3006,233,543,8,2009-10,4,Punjab,95,NA-95 Gujranwala-I,Elected,797,Usman Ibrahim,Pakistan Muslim League (N),PML-N,20,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Gujranwala,
3007,234,725,8,2009-10,4,Punjab,95,NA-95 Gujranwala-I,Elected,797,Usman Ibrahim,Pakistan Muslim League (N),PML-N,10,Consumed,PM's Directive,Electricity,Gujranwala,
3008,235,502,8,2009-10,4,Punjab,97,NA-97 Gujranwala-III,Elected,119,Chaudhry Mehmood Bashir Virk,Pakistan Muslim League (N),PML-N,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Gujranwala,
3009,236,313,8,2009-10,4,Punjab,98,NA-98 Gujranwala-IV,Elected,113,Chaudhry Imtiaz Safdar Waraich,Pakistan Peoples Party Parliamentarians,PPPP,34.1,Consumed,PM's Directive,Electricity,Gujranwala,
3010,237,757,8,2009-10,4,Punjab,99,NA-99 Gujranwala-V,Elected,585,Rana Omer Nazir Ahmad Khan,Pakistan Muslim League (N),PML-N,44.2,Consumed,PM's Directive,Development Scheme,Gujranwala,
3011,238,905,8,2009-10,4,Punjab,99,NA-99 Gujranwala-V,Elected,585,Rana Omer Nazir Ahmad Khan,Pakistan Muslim League (N),PML-N,5.8,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Gujranwala,Village Mandyala Tagha and Lather
3012,239,314,8,2009-10,4,Punjab,101,NA-101 Gujranwala-VII,Elected,262,Justice (R) Iftikhar Ahmad Cheema,Pakistan Muslim League (N),PML-N,3.9,Consumed,PM's Directive,Electricity,Gujranwala,
3013,240,2059,8,2009-10,4,Punjab,101,NA-101 Gujranwala-VII,Elected,262,Justice (R) Iftikhar Ahmad Cheema,Pakistan Muslim League (N),PML-N,2.6,Consumed,PM's Directive,Electricity,Gujranwala,"Village Naat Kalan, Mehar Town (Ali pur Chathha) and A/A Village Bagrian"
3014,241,311,8,2009-10,4,Punjab,102,NA-102 Hafizabad-I,Elected,636,Saira Afzal Tarar,Pakistan Muslim League (N),PML-N,37,Consumed,PM's Directive,Development Scheme,Hafizabad,
3015,242,978,8,2009-10,4,Punjab,102,NA-102 Hafizabad-I,Elected,636,Saira Afzal Tarar,Pakistan Muslim League (N),PML-N,3,Consumed,PM's Directive,Sewerage,Hafizabad,Kalo Tarar
3016,243,315,8,2009-10,4,Punjab,103,NA-103 Hafizabad-II,Elected,116,Chaudhry Liaqat Abbas Bhatti,Pakistan Muslim League,PML,28.15,Consumed,PM's Directive,Development Scheme,Hafizabad,
3017,244,309,8,2009-10,4,Punjab,103,NA-103 Hafizabad-II,Elected,116,Chaudhry Liaqat Abbas Bhatti,Pakistan Muslim League,PML,45.7,Consumed,PM's Directive,Electricity,Hafizabad,
3018,245,2150,8,2009-10,4,Punjab,104,NA-104 Gujrat-I,Elected,137,Chaudhry Wajahat Hussain,Pakistan Muslim League,PML,30,Consumed,PM's Directive,Development Scheme,Gujrat,
3019,246,312,8,2009-10,4,Punjab,106,NA-106 Gujrat-III,Elected,129,Chaudhry Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,PPPP,1,Consumed,PM's Directive,Electricity,Gujrat,
3020,247,328,8,2009-10,4,Punjab,106,NA-106 Gujrat-III,Elected,129,Chaudhry Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,PPPP,46.4,Consumed,PM's Directive,Development Scheme,Gujrat,
3021,248,823,8,2009-10,4,Punjab,106,NA-106 Gujrat-III,Elected,129,Chaudhry Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,PPPP,70,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Gujrat,
3022,249,376,8,2009-10,4,Punjab,107,NA-107 Gujrat-IV,Elected,451,Muhammad Jamil Malik,Pakistan Muslim League (N),PML-N,32.7,Consumed,PM's Directive,Electricity,Gujrat,
3023,250,371,8,2009-10,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,50,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Mandi Bahauddin,
3024,251,327,8,2009-10,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,39.4,Consumed,PM's Directive,Development Scheme,Mandi Bahauddin,
3025,252,907,8,2009-10,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,40,Consumed,PM's Directive,Development Scheme,Mandi Bahauddin,
3026,253,954,8,2009-10,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,15,Consumed,PM's Directive,Electricity,Mandi Bahauddin,
3027,254,953,8,2009-10,4,Punjab,108,NA-108 Mandi Bahauddin-I,Elected,477,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,PPPP,15,Consumed,PM's Directive,Development Scheme,Mandi Bahauddin,
3028,255,326,8,2009-10,4,Punjab,109,NA-109 Mandi Bahauddin-II,Elected,521,Nazar Muhammad Gondal,Pakistan Peoples Party Parliamentarians,PPPP,51.2,Consumed,PM's Directive,Electricity,Mandi Bahauddin,
3029,256,894,8,2009-10,4,Punjab,109,NA-109 Mandi Bahauddin-II,Elected,521,Nazar Muhammad Gondal,Pakistan Peoples Party Parliamentarians,PPPP,35.532,Consumed,PM's Directive,"Construction of Roads, Streets & Bridges",Mandi Bahauddin,
